#eid,src,dst,first
615,6,15,1
513,5,13,1
1905,19,5,1
501,5,1,1
2108,21,8,1
1805,18,5,1
1101,11,1,1
1117,11,17,1
1610,16,10,1
1412,14,12,1
1813,18,13,1
221,2,21,1
1502,15,2,1
916,9,16,1
201,2,1,1
1605,16,5,1
618,6,18,1
108,1,8,1
1715,17,15,1
2012,20,12,1
2001,20,1,1
422,4,22,1
621,6,21,1
918,9,18,1
2011,20,11,1
1308,13,8,1
121,1,21,1
911,9,11,1
1207,12,7,1
103,1,3,1
1507,15,7,1
1508,15,8,1
619,6,19,1
1908,19,8,1
1801,18,1,1
1921,19,21,1
2016,20,16,1
1901,19,1,1
2105,21,5,1
1513,15,13,1
2211,22,11,1
1712,17,12,1
613,6,13,1
1322,13,22,1
718,7,18,1
1703,17,3,1
2220,22,20,1
1704,17,4,1
117,1,17,1
709,7,9,1
320,3,20,1
1417,14,17,1
1314,13,14,1
1520,15,20,1
809,8,9,1
1416,14,16,1
1816,18,16,1
1109,11,9,1
2114,21,14,1
218,2,18,1
112,1,12,1
1501,15,1,1
1512,15,12,1
204,2,4,1
1409,14,9,1
214,2,14,1
1001,10,1,1
304,3,4,1
1909,19,9,1
2107,21,7,1
115,1,15,1
2017,20,17,1
2009,20,9,1
410,4,10,1
2018,20,18,1
1713,17,13,1
1213,12,13,1
2120,21,20,1
701,7,1,1
104,1,4,1
1113,11,13,1
822,8,22,1
601,6,1,1
213,2,13,1
520,5,20,1
1718,17,18,1
711,7,11,1
2006,20,6,1
1621,16,21,1
2112,21,12,1
702,7,2,1
1913,19,13,1
405,4,5,1
1012,10,12,1
604,6,4,1
1022,10,22,1
908,9,8,1
1609,16,9,1
1618,16,18,1
1803,18,3,1
105,1,5,1
1922,19,22,1
1415,14,15,1
1014,10,14,1
705,7,5,1
1510,15,10,1
1602,16,2,1
1208,12,8,1
703,7,3,1
622,6,22,1
2014,20,14,1
1814,18,14,1
120,1,20,1
1122,11,22,1
1811,18,11,1
507,5,7,1
122,1,22,1
1205,12,5,1
1303,13,3,1
812,8,12,1
313,3,13,1
2103,21,3,1
111,1,11,1
2214,22,14,1
305,3,5,1
1916,19,16,1
602,6,2,1
1307,13,7,1
1521,15,21,1
222,2,22,1
1914,19,14,1
322,3,22,1
1812,18,12,1
1719,17,19,1
2110,21,10,1
1604,16,4,1
511,5,11,1
1017,10,17,1
1407,14,7,1
308,3,8,1
1716,17,16,1
607,6,7,1
811,8,11,1
1304,13,4,1
1509,15,9,1
2104,21,4,1
1522,15,22,1
1110,11,10,1
1918,19,18,1
309,3,9,1
1411,14,11,1
1902,19,2,1
113,1,13,1
1009,10,9,1
407,4,7,1
508,5,8,1
616,6,16,1
904,9,4,1
2013,20,13,1
212,2,12,1
1906,19,6,1
614,6,14,1
1514,15,14,1
1702,17,2,1
2113,21,13,1
605,6,5,1
2122,21,22,1
803,8,3,1
1608,16,8,1
1011,10,11,1
1402,14,2,1
1612,16,12,1
416,4,16,1
1115,11,15,1
1506,15,6,1
414,4,14,1
1121,11,21,1
1114,11,14,1
818,8,18,1
509,5,9,1
917,9,17,1
306,3,6,1
1821,18,21,1
211,2,11,1
620,6,20,1
1907,19,7,1
610,6,10,1
608,6,8,1
807,8,7,1
1214,12,14,1
722,7,22,1
1516,15,16,1
418,4,18,1
1721,17,21,1
1403,14,3,1
514,5,14,1
1305,13,5,1
1104,11,4,1
409,4,9,1
2109,21,9,1
2115,21,15,1
1408,14,8,1
502,5,2,1
1007,10,7,1
1118,11,18,1
1310,13,10,1
1817,18,17,1
208,2,8,1
203,2,3,1
1018,10,18,1
1103,11,3,1
1804,18,4,1
1505,15,5,1
902,9,2,1
102,1,2,1
310,3,10,1
1706,17,6,1
1808,18,8,1
1013,10,13,1
1722,17,22,1
522,5,22,1
1309,13,9,1
922,9,22,1
1708,17,8,1
2210,22,10,1
1617,16,17,1
1518,15,18,1
421,4,21,1
1920,19,20,1
1910,19,10,1
1422,14,22,1
1915,19,15,1
810,8,10,1
1005,10,5,1
1108,11,8,1
109,1,9,1
903,9,3,1
116,1,16,1
2212,22,12,1
403,4,3,1
1904,19,4,1
1911,19,11,1
2010,20,10,1
1807,18,7,1
1105,11,5,1
1112,11,12,1
611,6,11,1
312,3,12,1
1316,13,16,1
1206,12,6,1
503,5,3,1
316,3,16,1
1209,12,9,1
2111,21,11,1
402,4,2,1
1504,15,4,1
210,2,10,1
420,4,20,1
1503,15,3,1
415,4,15,1
319,3,19,1
1707,17,7,1
1204,12,4,1
1622,16,22,1
1611,16,11,1
2102,21,2,1
1607,16,7,1
804,8,4,1
2118,21,18,1
1705,17,5,1
1912,19,12,1
114,1,14,1
107,1,7,1
612,6,12,1
2218,22,18,1
220,2,20,1
2008,20,8,1
720,7,20,1
1709,17,9,1
906,9,6,1
123,1,23,2
2516,25,16,2
1924,19,24,2
609,6,9,2
1923,19,23,2
2524,25,24,2
205,2,5,2
1315,13,15,2
2411,24,11,2
623,6,23,2
1024,10,24,2
1301,13,1,2
1023,10,23,2
521,5,21,2
2124,21,24,2
1903,19,3,2
1511,15,11,2
2024,20,24,2
2505,25,5,2
2101,21,1,2
125,1,25,2
1917,19,17,2
1725,17,25,2
1723,17,23,2
1015,10,15,2
1714,17,14,2
1302,13,2,2
1424,14,24,2
1524,15,24,2
2312,23,12,2
2503,25,3,2
923,9,23,2
406,4,6,2
314,3,14,2
1418,14,18,2
1701,17,1,2
2513,25,13,2
2509,25,9,2
2321,23,21,2
1016,10,16,2
2004,20,4,2
2523,25,23,2
2305,23,5,2
2320,23,20,2
401,4,1,2
1320,13,20,2
2318,23,18,2
2514,25,14,2
510,5,10,2
1410,14,10,2
2119,21,19,2
524,5,24,2
1215,12,15,2
110,1,10,2
914,9,14,2
625,6,25,2
1223,12,23,2
419,4,19,2
1102,11,2,2
318,3,18,2
1004,10,4,2
624,6,24,2
1810,18,10,2
603,6,3,2
1120,11,20,2
1613,16,13,2
506,5,6,2
321,3,21,2
1124,11,24,2
1603,16,3,2
1003,10,3,2
901,9,1,2
2002,20,2,2
2521,25,21,2
1216,12,16,2
1519,15,19,2
224,2,24,2
1824,18,24,2
2123,21,23,2
424,4,24,2
2003,20,3,2
1724,17,24,2
323,3,23,2
1720,17,20,2
1002,10,2,2
324,3,24,2
2401,24,1,2
512,5,12,2
1218,12,18,2
2324,23,24,2
2021,20,21,2
2310,23,10,2
2314,23,14,2
2402,24,2,2
2412,24,12,2
1324,13,24,2
1420,14,20,2
1025,10,25,2
2405,24,5,2
516,5,16,2
1123,11,23,2
921,9,21,2
2515,25,15,2
1710,17,10,2
1210,12,10,2
223,2,23,2
216,2,16,2
2005,20,5,2
1203,12,3,2
1217,12,17,2
423,4,23,2
1211,12,11,2
1201,12,1,2
912,9,12,2
1614,16,14,2
2519,25,19,2
2502,25,2,2
2518,25,18,2
1323,13,23,2
1606,16,6,2
417,4,17,2
1311,13,11,2
2116,21,16,2
1623,16,23,2
2413,24,13,2
1306,13,6,2
1523,15,23,2
2511,25,11,2
412,4,12,2
1624,16,24,2
913,9,13,2
2409,24,9,2
1517,15,17,2
411,4,11,2
905,9,5,2
920,9,20,2
2302,23,2,2
118,1,18,2
2520,25,20,2
2512,25,12,2
1221,12,21,2
425,4,25,2
1627,16,27,3
217,2,17,3
926,9,26,3
2527,25,27,3
515,5,15,3
1227,12,27,3
1820,18,20,3
2720,27,20,3
2601,26,1,3
219,2,19,3
1326,13,26,3
2526,25,26,3
2710,27,10,3
315,3,15,3
2618,26,18,3
1927,19,27,3
2704,27,4,3
1027,10,27,3
127,1,27,3
1926,19,26,3
209,2,9,3
302,3,2,3
2015,20,15,3
1327,13,27,3
1526,15,26,3
1925,19,25,3
2616,26,16,3
2717,27,17,3
325,3,25,3
327,3,27,3
215,2,15,3
2603,26,3,3
106,1,6,3
1726,17,26,3
227,2,27,3
1312,13,12,3
1220,12,20,3
1321,13,21,3
226,2,26,3
626,6,26,3
2705,27,5,3
2715,27,15,3
126,1,26,3
2718,27,18,3
426,4,26,3
617,6,17,3
1021,10,21,3
2627,26,27,3
2721,27,21,3
225,2,25,3
627,6,27,3
1626,16,26,3
1620,16,20,3
1317,13,17,3
1026,10,26,3
1226,12,26,3
301,3,1,3
427,4,27,3
1219,12,19,3
1825,18,25,3
2126,21,26,3
927,9,27,3
1325,13,25,3
326,3,26,3
119,1,19,3
526,5,26,3
2026,20,26,3
910,9,10,4
413,4,13,4
1929,19,29,4
629,6,29,4
317,3,17,4
2821,28,21,4
2125,21,25,4
2129,21,29,4
429,4,29,4
2703,27,3,4
2902,29,2,4
428,4,28,4
1601,16,1,4
919,9,19,4
2815,28,15,4
124,1,24,4
2825,28,25,4
2918,29,18,4
2417,24,17,4
2429,24,29,4
1729,17,29,4
2127,21,27,4
2913,29,13,4
2818,28,18,4
1318,13,18,4
2528,25,28,4
1628,16,28,4
128,1,28,4
2824,28,24,4
1006,10,6,4
1328,13,28,4
2427,24,27,4
2716,27,16,4
1527,15,27,4
2819,28,19,4
2428,24,28,4
2724,27,24,4
628,6,28,4
2719,27,19,4
229,2,29,4
1529,15,29,4
1202,12,2,4
129,1,29,4
929,9,29,4
228,2,28,4
1809,18,9,4
2106,21,6,4
2810,28,10,4
1815,18,15,4
2416,24,16,4
2517,25,17,4
1029,10,29,4
2817,28,17,4
2406,24,6,4
1629,16,29,4
2927,29,27,4
1229,12,29,4
925,9,25,4
2812,28,12,4
2925,29,25,4
2713,27,13,4
2725,27,25,4
2728,27,28,4
1615,16,15,4
1625,16,25,4
2702,27,2,4
2421,24,21,4
2924,29,24,4
1525,15,25,4
2128,21,28,4
1528,15,28,4
928,9,28,4
2928,29,28,4
2425,24,25,4
329,3,29,4
328,3,28,4
2130,21,30,5
3023,30,23,5
2606,26,6,5
3021,30,21,5
2623,26,23,5
2404,24,4,5
2619,26,19,5
330,3,30,5
1826,18,26,5
1230,12,30,5
930,9,30,5
2809,28,9,5
1930,19,30,5
924,9,24,5
2306,23,6,5
1928,19,28,5
2419,24,19,5
2813,28,13,5
2826,28,26,5
2430,24,30,5
1730,17,30,5
2624,26,24,5
2315,23,15,5
3026,30,26,5
1228,12,28,5
2423,24,23,5
1630,16,30,5
2410,24,10,5
630,6,30,5
230,2,30,5
3028,30,28,5
1330,13,30,5
130,1,30,5
1806,18,6,5
2403,24,3,5
1530,15,30,5
2801,28,1,5
2415,24,15,5
1823,18,23,5
3018,30,18,5
2418,24,18,5
2830,28,30,5
2602,26,2,5
1030,10,30,5
2806,28,6,5
2609,26,9,5
430,4,30,5
3004,30,4,5
2328,23,28,5
2816,28,16,5
3125,31,25,6
331,3,31,6
1225,12,25,6
631,6,31,6
2709,27,9,6
915,9,15,6
2804,28,4,6
2706,27,6,6
3128,31,28,6
2827,28,27,6
3124,31,24,6
206,2,6,6
1231,12,31,6
2731,27,31,6
131,1,31,6
1731,17,31,6
2712,27,12,6
231,2,31,6
3104,31,4,6
3106,31,6,6
2131,21,31,6
1028,10,28,6
2117,21,17,6
1531,15,31,6
1331,13,31,6
3116,31,16,6
1831,18,31,6
1828,18,28,6
3110,31,10,6
3109,31,9,6
2431,24,31,6
3102,31,2,6
2802,28,2,6
1931,19,31,6
1802,18,2,6
1932,19,32,7
1619,16,19,7
2433,24,33,7
333,3,33,7
432,4,32,7
3204,32,4,7
2832,28,32,7
2909,29,9,7
3221,32,21,7
1232,12,32,7
2906,29,6,7
1833,18,33,7
332,3,32,7
933,9,33,7
3233,32,33,7
1632,16,32,7
233,2,33,7
2932,29,32,7
1933,19,33,7
2432,24,32,7
132,1,32,7
633,6,33,7
1224,12,24,7
2910,29,10,7
1829,18,29,7
1332,13,32,7
3203,32,3,7
1832,18,32,7
2921,29,21,7
3332,33,32,7
3306,33,6,7
1233,12,33,7
133,1,33,7
2732,27,32,7
232,2,32,7
1329,13,29,7
2916,29,16,7
2729,27,29,7
3312,33,12,7
1532,15,32,7
2933,29,33,7
1333,13,33,7
2133,21,33,7
3316,33,16,7
932,9,32,7
3328,33,28,7
1032,10,32,7
433,4,33,7
1533,15,33,7
632,6,32,7
1033,10,33,7
3327,33,27,7
3324,33,24,8
3133,31,33,8
1427,14,27,8
1406,14,6,8
528,5,28,8
1413,14,13,8
431,4,31,8
1433,14,33,8
2914,29,14,8
3112,31,12,8
1031,10,31,8
931,9,31,8
2829,28,29,8
2901,29,1,8
2805,28,5,8
1405,14,5,8
2931,29,31,8
2833,28,33,8
529,5,29,8
